ItemId,MovementeType,WarehouseName,Amount,MovementDate
63932,S,18,1.00,2023-07-17 17:21:00
92211,S,18,1.00,2023-07-17 17:21:00
24053,S,18,1.00,2023-07-17 09:08:00
05899,S,18,1.00,2023-07-17 17:21:00
03260,S,18,1.00,2023-07-17 09:08:00
05901,S,18,1.00,2023-07-17 09:08:0
63933,S,18,1.00,2023-07-17 17:21:0
52945,S,18,1.00,2023-07-17 09:08:0
02496,S,18,1.00,2023-07-17 09:08:0
16767,S,18,1.00,2023-07-17 17:21:00
20245,S,18,1.00,2023-07-17 09:08:00
59095,S,18,5.00,2023-07-17 12:00:0
69808,S,18,3.00,2023-07-17 12:00:0
101138,E,18,1.00,2023-07-17 09:44:00
40809,E,18,1.00,2023-07-17 10:46:00
08161,E,18,2.00,2023-07-17 09:35:00
73121,E,18,2.00,2023-07-17 10:44:00
69020,E,18,3.00,2023-07-17 10:44:00
12132,E,18,5.00,2023-07-17 10:46:00
18578,E,18,7.00,2023-07-17 10:46:00
40190,E,18,7.00,2023-07-17 10:46:00
71614,E,18,8.00,2023-07-17 09:35:00
20536,E,18,8.00,2023-07-17 09:45:00
18884,E,18,8.00,2023-07-17 09:45:00
31674,E,18,9.00,2023-07-17 10:46:00
78446,E,18,10.00,2023-07-17 09:35:00
16768,E,18,10.00,2023-07-17 10:46:00
02490,E,18,10.00,2023-07-17 10:46:00
99348,E,18,15.00,2023-07-17 09:44:00
70846,E,18,15.00,2023-07-17 09:35:00
01350,E,18,20.00,2023-07-17 10:46:00
01072,E,18,20.00,2023-07-17 10:46:0
18576,E,18,21.00,2023-07-17 09:45:00
01350,S,18,1.00,2023-07-17 17:21:0
03260,S,18,1.00,2023-07-17 17:21:00
16768,S,18,1.00,2023-07-17 17:21:0
05901,S,18,1.00,2023-07-17 17:21:0
52945,S,18,1.00,2023-07-17 17:21:0
63936,S,18,1.00,2023-07-18 10:25:00
63935,S,18,1.00,2023-07-18 10:25:00
56853,S,18,6.00,2023-07-18 09:58:00
76690,E,18,3.00,2023-07-18 15:11:00
78446,E,18,5.00,2023-07-18 14:02:0
71614,E,18,7.00,2023-07-18 14:02:0
93760,E,18,15.00,2023-07-18 14:00:00
58889,E,18,15.00,2023-07-18 14:00:00
101138,E,18,15.00,2023-07-18 14:00:00
95314,E,18,15.00,2023-07-18 14:01:00
24909,E,18,15.00,2023-07-18 14:02:00
97936,E,18,24.00,2023-07-18 14:01:00
59095,S,18,6.00,2023-07-20 16:37:0
30670,S,18,6.00,2023-07-20 16:37:0
54916,S,18,1.00,2023-07-20 10:19:00
69808,S,18,6.00,2023-07-20 16:37:0
82556,E,18,5.00,2023-07-20 14:40:00
24933,S,18,1.00,2023-07-21 10:42:00
20537,S,18,2.00,2023-07-21 09:14:00
59183,S,18,1.00,2023-07-21 10:22:00
95252,E,18,3.00,2023-07-21 13:46:00
84286,E,18,4.00,2023-07-21 13:46:00
63940,E,18,5.00,2023-07-21 13:46:00
101301,E,18,9.00,2023-07-21 08:51:00
101400,E,18,10.00,2023-07-21 08:51:00
59095,S,18,6.00,2023-07-21 08:22:0
69808,S,18,6.00,2023-07-21 08:22:0
59095,E,18,40.00,2023-07-21 08:51:0
69808,E,18,30.00,2023-07-21 08:51:0
69808,S,18,5.00,2023-07-21 10:42:0
84288,S,18,1.00,2023-07-24 09:09:00
84285,S,18,1.00,2023-07-24 09:09:00
84286,S,18,1.00,2023-07-24 09:09:00
84287,S,18,1.00,2023-07-24 11:00:00
97995,E,18,6.00,2023-07-24 09:19:00
01350,S,18,1.00,2023-07-24 15:49:0
01329,S,18,1.00,2023-07-24 15:49:0
57078,S,18,1.00,2023-07-25 11:13:00
92211,S,18,1.00,2023-07-26 07:40:
75825,S,18,1.00,2023-07-26 07:43:0
75808,S,18,1.00,2023-07-26 07:43:0
97298,S,18,1.00,2023-07-26 07:56:0
59183,S,18,1.00,2023-07-26 13:10:00
93819,S,18,4.00,2023-07-26 13:15:0
93760,S,18,1.00,2023-07-26 13:15:0
46141,S,18,1.00,2023-07-26 13:15:00
21024,S,18,1.00,2023-07-26 13:15:00
62708,S,18,1.00,2023-07-26 13:15:00
80979,S,18,1.00,2023-07-27 11:10:00
80980,S,18,1.00,2023-07-27 11:10:00
59183,S,18,3.00,2023-07-27 12:12:00
